ErrorType;Class;Method;ViolatedRule;Object;Statement;ExternalLibrary
ConstraintError;androidx.biometric.h;androidx.biometric.BiometricPrompt$c a();violating CrySL rule for javax.crypto.Cipher (on Object #383c5f365e8dfcec34cdd536ea8fab993395bc770714620640cc10ef973ec66b);First parameter (with value "AES/CBC/PKCS7Padding") should be any of AES/CBC/{PKCS5Padding, ISO10126Padding};$r6 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer25376);true
ConstraintError;androidx.biometric.h;androidx.biometric.BiometricPrompt$c a();violating CrySL rule for java.security.KeyStore (on Object #33389e061bab934027c06337bb273f7d837b38946bd4adad48757d37170a7ed7);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r0 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer25377);true
RequiredPredicateError;androidx.biometric.h;androidx.biometric.BiometricPrompt$c a();violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r6.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer25370, $r5);true
ConstraintError;com.simplemobiletools.commons.views.PinTab;java.lang.String getHashedPin();violating CrySL rule for java.security.MessageDigest (on Object #449cbe6a9388448aa451bd0891691793dba161f033f99e19f91b38e9e618fec7);First parameter (with value "SHA-1") should be any of {SHA-256, SHA-384, SHA-512};$r1 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer26541);false
ConstraintError;f1.a;java.lang.String a(com.andrognito.patternlockview.PatternLockView,java.util.List);violating CrySL rule for java.security.MessageDigest (on Object #9375b0574fb4b9adc20801d5b0e8b4065c9e4457c03dd0913ac35666dd9dc67e);First parameter (with value "SHA-1") should be any of {SHA-256, SHA-384, SHA-512};$r4 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer26683);false
