ErrorType;Class;Method;ViolatedRule;Object;Statement;ExternalLibrary
ConstraintError;e.b.a.u.e;void a(byte[],int,int);violating CrySL rule for java.security.MessageDigest (on Object #5b73bf275f4e06a2301e49e1ef7f8eee378f47e35ad2e19a0c637075cff1e438);Third parameter (with value 0)Variable preLenmust be  greater than 0;virtualinvoke $r2.<java.security.MessageDigest: void update(byte[],int,int)>($r1, $i0, $i1);false
ConstraintError;e.b.a.u.e;void a(byte[],int,int);violating CrySL rule for java.security.MessageDigest (on Object #5b73bf275f4e06a2301e49e1ef7f8eee378f47e35ad2e19a0c637075cff1e438);Second parameter (with value -1)Variable preOffsetmust be  at least 0;virtualinvoke $r2.<java.security.MessageDigest: void update(byte[],int,int)>($r1, $i0, $i1);false
TypestateError;e.b.a.u.e;byte[] a();violating CrySL rule for java.security.MessageDigest (on Object #5b73bf275f4e06a2301e49e1ef7f8eee378f47e35ad2e19a0c637075cff1e438);Unexpected call to method <java.security.MessageDigest: byte[] digest()> on object of type java.security.MessageDigest. Expect a call to one of the following methods java.security.MessageDigest: void update(byte[],int,int),java.security.MessageDigest: void update(java.nio.ByteBuffer),java.security.MessageDigest: byte[] digest(byte[]),java.security.MessageDigest: void update(byte),java.security.MessageDigest: void update(byte[]);$r2 = virtualinvoke $r1.<java.security.MessageDigest: byte[] digest()>();false
IncompleteOperationError;e.b.a.x.a;void a(long,long);violating CrySL rule for java.security.MessageDigest (on Object #5b73bf275f4e06a2301e49e1ef7f8eee378f47e35ad2e19a0c637075cff1e438);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$l2 = virtualinvoke r0.<e.b.a.x.a: long a()>();false
IncompleteOperationError;e.b.a.x.a;void a(long,long);violating CrySL rule for java.security.MessageDigest (on Object #5b73bf275f4e06a2301e49e1ef7f8eee378f47e35ad2e19a0c637075cff1e438);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$l3 = virtualinvoke r0.<e.b.a.x.a: long a()>();false
IncompleteOperationError;e.b.a.x.a;void a(java.io.InputStream);violating CrySL rule for java.security.MessageDigest (on Object #5b73bf275f4e06a2301e49e1ef7f8eee378f47e35ad2e19a0c637075cff1e438);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;specialinvoke $r5.<e.b.a.x.a: void <init>()>();false
IncompleteOperationError;e.b.a.x.a;void a(java.io.InputStream);violating CrySL rule for java.security.MessageDigest (on Object #5b73bf275f4e06a2301e49e1ef7f8eee378f47e35ad2e19a0c637075cff1e438);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;virtualinvoke $r5.<e.b.a.x.a: void a(long,long)>($l2, $l4);false
