ErrorType;Class;Method;ViolatedRule;Object;Statement
ConstraintError;g6.b$a;void run();violating CrySL rule for java.security.MessageDigest (on Object #d427c91047c7c7f6b69406dcbf10d5b5e9d84635e1acd43e9d1539c3dea23a87);First parameter (with value "SHA") should be any of {SHA-256, SHA-384, SHA-512};$r8 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer5828)
ConstraintError;c9.b;byte[] a(byte[],java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #8bd01f1b13cea1ee8aa7b22593d126b95c382be3720f2aa7242a6d10f9579e18);First parameter (with value "MD5") should be any of {SHA-256, SHA-384, SHA-512};$r3 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r2)
ConstraintError;c9.b;byte[] a(byte[],java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #8bd01f1b13cea1ee8aa7b22593d126b95c382be3720f2aa7242a6d10f9579e18);First parameter (with value "SHA-1") should be any of {SHA-256, SHA-384, SHA-512};$r3 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r2)
IncompleteOperationError;u4.r1;void m4(androidx.preference.Preference,java.io.File);violating CrySL rule for java.security.cert.CertificateFactory (on Object #3d36e249fc9728bbc08a2322742895c2f165a45c444fafbd2a8552952b8c9b0b);Operation on object of type java.security.cert.CertificateFactory object not completed. Expected call to generateCRL;virtualinvoke $r7.<java.security.cert.CertificateFactory: java.security.cert.Certificate generateCertificate(java.io.InputStream)>($r6)
IncompleteOperationError;y1.k;y1.w a(com.bumptech.glide.load.data.e,int,int,w1.h,y1.k$a);violating CrySL rule for java.security.MessageDigest (on Object #7b75d70ada5d5438bce50f583c95ff23b7bb52b3baa6b4d09d403459bb00eab3);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;interfaceinvoke $r5.<m0.f: boolean a(java.lang.Object)>($r7)
IncompleteOperationError;y1.k;y1.w b(com.bumptech.glide.load.data.e,int,int,w1.h,java.util.List);violating CrySL rule for java.security.MessageDigest (on Object #7b75d70ada5d5438bce50f583c95ff23b7bb52b3baa6b4d09d403459bb00eab3);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;specialinvoke $r13.<java.util.ArrayList: void <init>(java.util.Collection)>($r2)
IncompleteOperationError;y1.j;void g();violating CrySL rule for java.security.MessageDigest (on Object #7b75d70ada5d5438bce50f583c95ff23b7bb52b3baa6b4d09d403459bb00eab3);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$r10 = null
IncompleteOperationError;y1.j;void g();violating CrySL rule for java.security.MessageDigest (on Object #7b75d70ada5d5438bce50f583c95ff23b7bb52b3baa6b4d09d403459bb00eab3);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$r10 = virtualinvoke r0.<y1.j: y1.w e(com.bumptech.glide.load.data.d,java.lang.Object,w1.a)>($r6, $r4, $r9)
IncompleteOperationError;y1.j;void g();violating CrySL rule for java.security.MessageDigest (on Object #7b75d70ada5d5438bce50f583c95ff23b7bb52b3baa6b4d09d403459bb00eab3);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;virtualinvoke r0.<y1.j: void k(y1.w,w1.a,boolean)>($r10, $r9, $z0)
