ErrorType;Class;Method;ViolatedRule;Object;Statement
ConstraintError;org.java_websocket.drafts.Draft_76;byte[] createChallenge(java.lang.String,java.lang.String,byte[]);violating CrySL rule for java.security.MessageDigest (on Object #32a58d397b4d9ecf826690df3cffe888015f26b1c6e7b03a4e8851045047839);First parameter (with value "MD5") should be any of {SHA-256, SHA-384, SHA-512};$r6 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer5077)
ConstraintError;org.java_websocket.drafts.Draft_10;java.lang.String generateFinalKey(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #6d895dbc549f2f1824ee32d903a3a9ffbb3d3d5aa784df9d9ec6d2de819b86b0);First parameter (with value "SHA1") should be any of {SHA-256, SHA-384, SHA-512};$r3 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer6591)
