ErrorType;Class;Method;ViolatedRule;Object;Statement
ConstraintError;a2.g;int a();violating CrySL rule for java.security.MessageDigest (on Object #ed567678381115d3d7fd211375d1e605c283f8f4858e27cdaadf873a8afe37cd);First parameter (with value "MD5") should be any of {SHA-256, SHA-384, SHA-512};$r2 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer7502)
ConstraintError;h2.n;int f();violating CrySL rule for java.security.MessageDigest (on Object #3973aa9ef82090df89f68866dabde87840e0d19566096e4c569ff992f93d6014);First parameter (with value "MD5") should be any of {SHA-256, SHA-384, SHA-512};$r2 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer12219)
