apk_name;libraries_with_vulnerability (total);libraries_with_vulnerability (possible_external);libraries_with_vulnerability (definitely_external), native_libraries_with_vulnerability (total - possible_external - definitely_external)
it.greenaddress.cordova_72;82;0;0;82
ch.protonvpn.android_102119009;65;0;0;65
hashengineering.darkcoin.wallet_70311;51;0;0;51
xyz.hisname.fireflyiii_104;9;0;0;9
de.eidottermihi.raspicheck_57;83;0;0;83
io.lbry.browser_17011;98;0;0;98
com.greenaddress.greenbits_android_wallet.testnet_205;25;0;0;25
de.varengold.activeTAN_34;3;0;0;3
