Message,Description,RuleNumber,RuleDesc,CWEId,Severity,ClassName,MethodName,ExternalLibrary
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,okhttp3.OkHttpClient,newWebSocket,true
"Cause: Fixed ""[1]""",Used untrusted HostNameVerifier,6,Used untrusted HostNameVerifier,601,1,cryptowidget.ExchangeHelper,UNKNOWN,false
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,okio.ByteString,sha1,true
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,okio.HashingSink,md5,true
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,okio.Buffer,sha1,true
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,okio.Buffer,md5,true
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,okio.ByteString,md5,true
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,okio.HashingSource,md5,true
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,okio.HashingSource,sha1,true
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,okio.HashingSink,sha1,true
"Found: ""http://api.bitcoincharts.com/v1/markets.json""",Used HTTP Protocol,7,Used HTTP Protocol,650,1,com.brentpanther.cryptowidget.ExchangeHelper,getFromBitcoinCharts,false
