Message,Description,RuleNumber,RuleDesc,CWEId,Severity,ClassName,MethodName,ExternalLibrary
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.bouncycastle.pqc.math.linearalgebra.GF2nONBField,elementOfOrder,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.eclipse.jetty.websocket.WebSocketClientFactory$HandshakeConnection,init,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,de.tavendo.autobahn.WebSocketWriter,init,false
Should at least get One accepted Issuer from Other Sources in getAcceptedIssuers method of ssl.SslContextFactory,Uses untrusted TrustManager,4,Uses untrusted TrustManager,349,1,ssl.SslContextFactory,getAcceptedIssuers,false
Should throw java.security.cert.CertificateException in check(Client|Server)Trusted method of ssl.SslContextFactory,Uses untrusted TrustManager,4,Uses untrusted TrustManager,349,1,ssl.SslContextFactory,UNKNOWN,false
"Found: ""SHA1""",Found broken hash functions,2,Found broken hash functions,759,1,org.java_websocket.drafts.Draft_10,generateFinalKey,false
"Found: ""SHA1""",Found broken hash functions,2,Found broken hash functions,759,1,org.bouncycastle.ocsp.RespID,init,false
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,com.facebook.internal.Utility,sha1hash,true
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,org.java_websocket.drafts.Draft_76,createChallenge,false
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,com.facebook.internal.Utility,md5hash,true
"Found: ""SHA1""",Found broken hash functions,2,Found broken hash functions,759,1,org.eclipse.jetty.websocket.WebSocketConnectionRFC6455,hashKey,false
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,com.squareup.okhttp.internal.Util,hash,false
"Found: Constant ""encrypt""",Used constant keys in code,3,Used constant keys in code,547,1,it.greenaddress.cordova.BIP38,execute,false
"Found: Constant ""decrypt""",Used constant keys in code,3,Used constant keys in code,547,1,it.greenaddress.cordova.BIP38,execute,false
"Found: ""4""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.keystore.bc.BcKeyStoreSpi$StoreEntry,init,false
"Found: ""3""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.keystore.bc.BcKeyStoreSpi$StoreEntry,init,false
"Found: ""1""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.keystore.bc.BcKeyStoreSpi,loadStore,false
"Found: ""1""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.keystore.bc.BcKeyStoreSpi$StoreEntry,init,false
