Message,Description,RuleNumber,RuleDesc,CWEId,Severity,ClassName,MethodName,ExternalLibrary
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,c.c.c.a.v.a.b,e,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,androidx.activity.result.ActivityResultRegistry,init,true
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,com.pichillilorenzo.flutter_inappwebview.in_app_webview.InAppWebView,injectDeferredObject,false
Should at least get One accepted Issuer from Other Sources in getAcceptedIssuers method of inappwebview.Util,Uses untrusted TrustManager,4,Uses untrusted TrustManager,349,1,inappwebview.Util,getAcceptedIssuers,false
Should throw java.security.cert.CertificateException in check(Client|Server)Trusted method of inappwebview.Util,Uses untrusted TrustManager,4,Uses untrusted TrustManager,349,1,inappwebview.Util,UNKNOWN,false
"Cause: Fixed ""[1]""",Used untrusted HostNameVerifier,6,Used untrusted HostNameVerifier,601,1,inappwebview.Util,UNKNOWN,false
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,h.f,v,false
