Message,Description,RuleNumber,RuleDesc,CWEId,Severity,ClassName,MethodName,ExternalLibrary
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,okio.HashingSource,sha1,true
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,org.conscrypt.NativeCrypto,X509_NAME_hash_old,false
"Found: ""SHA1""",Found broken hash functions,2,Found broken hash functions,759,1,org.conscrypt.NativeCrypto,X509_NAME_hash,false
"Found: Constant ""0""",Used constant keys in code,3,Used constant keys in code,547,1,im.status.keycard.globalplatform.Crypto,clinit,false
"Found: Constant ""0""",Used constant keys in code,3,Used constant keys in code,547,1,im.status.keycard.globalplatform.Crypto,clinit,false
"Found: Constant ""0""",Used constant keys in code,3,Used constant keys in code,547,1,im.status.keycard.globalplatform.Crypto,clinit,false
"Found: Constant ""0""",Used constant keys in code,3,Used constant keys in code,547,1,im.status.keycard.globalplatform.Crypto,clinit,false
"Found: Constant ""1""",Used constant keys in code,3,Used constant keys in code,547,1,im.status.keycard.globalplatform.SecureChannel,clinit,false
"Found: Constant ""0""",Used constant keys in code,3,Used constant keys in code,547,1,im.status.keycard.globalplatform.Crypto,clinit,false
"Found: Constant ""0""",Used constant keys in code,3,Used constant keys in code,547,1,im.status.keycard.globalplatform.Crypto,clinit,false
"Found: Constant ""0""",Used constant keys in code,3,Used constant keys in code,547,1,im.status.keycard.globalplatform.Crypto,clinit,false
"Found: Constant ""-128""",Used constant keys in code,3,Used constant keys in code,547,1,im.status.keycard.globalplatform.Crypto,appendDESPadding,false
"Found: Constant ""1""",Used constant keys in code,3,Used constant keys in code,547,1,im.status.keycard.globalplatform.SecureChannel,clinit,false
"Found: Constant ""-126""",Used constant keys in code,3,Used constant keys in code,547,1,im.status.keycard.globalplatform.SecureChannel,clinit,false
"Found: Constant ""-127""",Used constant keys in code,3,Used constant keys in code,547,1,im.status.keycard.globalplatform.SecureChannel,clinit,false
"Found: Constant ""Bitcoin seed""",Used constant keys in code,3,Used constant keys in code,547,1,im.status.keycard.applet.BIP32KeyPair,fromBinarySeed,false
"Found: Constant ""0""",Used constant keys in code,3,Used constant keys in code,547,1,im.status.keycard.globalplatform.Crypto,clinit,false
"Found: ""0""",Found constant IV in code,10,Found constant IV in code,547,1,im.status.keycard.globalplatform.Crypto,clinit,false
"Found: ""0""",Found constant IV in code,10,Found constant IV in code,547,1,im.status.keycard.globalplatform.Crypto,clinit,false
"Found: ""0""",Found constant IV in code,10,Found constant IV in code,547,1,im.status.keycard.globalplatform.Crypto,clinit,false
"Found: ""0""",Found constant IV in code,10,Found constant IV in code,547,1,im.status.keycard.globalplatform.Crypto,clinit,false
"Found: ""-128""",Found constant IV in code,10,Found constant IV in code,547,1,im.status.keycard.globalplatform.Crypto,appendDESPadding,false
"Found: ""0""",Found constant IV in code,10,Found constant IV in code,547,1,im.status.keycard.globalplatform.Crypto,clinit,false
"Found: ""0""",Found constant IV in code,10,Found constant IV in code,547,1,im.status.keycard.globalplatform.Crypto,clinit,false
"Found: ""0""",Found constant IV in code,10,Found constant IV in code,547,1,im.status.keycard.globalplatform.Crypto,clinit,false
"Found: ""0""",Found constant IV in code,10,Found constant IV in code,547,1,im.status.keycard.globalplatform.Crypto,clinit,false
"Found: ""Keycard Pairing Password Salt""",Found constant salts in code,9,Found constant salts in code,547,1,im.status.keycard.applet.KeycardCommandSet,pairingPasswordToSecret,false
"Found: ""20""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.keystore.pkcs12.PKCS12KeyStoreSpi,init,true
