Message,Description,RuleNumber,RuleDesc,CWEId,Severity,ClassName,MethodName,ExternalLibrary
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,androidx.activity.result.ActivityResultRegistry,init,true
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,r3.b,b,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,r3.b,a,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,m5.b$a,initialValue,false
"Found: Constant ""PBKDF2withHmacSHA256""",Used constant keys in code,3,Used constant keys in code,547,1,p4.c,c,false
"Found: ""oandbackupx""",Found constant IV in code,10,Found constant IV in code,547,1,p4.c,clinit,false
"Found: ""0""",Found constant IV in code,10,Found constant IV in code,547,1,p4.c,clinit,false
"Found: ""class Lh5/a;""",Found constant IV in code,10,Found constant IV in code,547,1,g5.b,clinit,false
"Found: ""class Li5/a;""",Found constant IV in code,10,Found constant IV in code,547,1,g5.b,clinit,false
