Message,Description,RuleNumber,RuleDesc,CWEId,Severity,ClassName,MethodName,ExternalLibrary,PossibleExternal
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,t9.x,G,false,false
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,qa.b,e,false,false
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,x9.d,init,false,false
"Found: ""SHA1""",Found broken hash functions,2,Found broken hash functions,759,1,ba.j,init,false,false
"Found: ""SHA""",Found broken hash functions,2,Found broken hash functions,759,1,ba.w5,g,false,false
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,ia.c,c,false,false
"Found: Constant ""10""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit,false,false
"Found: Constant ""9""",Used constant keys in code,3,Used constant keys in code,547,1,a6.m,clinit,false,false
"Found: Constant ""40""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit,false,false
"Found: Constant ""40""",Used constant keys in code,3,Used constant keys in code,547,1,a6.m,clinit,false,false
"Found: Constant ""-105""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit,false,false
"Found: Constant ""77""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit,false,false
"Found: Constant ""23""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit,false,false
"Found: Constant ""-32""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit,false,false
"Found: Constant ""108""",Used constant keys in code,3,Used constant keys in code,547,1,a6.m,clinit,false,false
"Found: Constant ""-71""",Used constant keys in code,3,Used constant keys in code,547,1,a6.m,clinit,false,false
"Found: Constant ""89""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit,false,false
"Found: Constant ""-26""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit,false,false
"Found: Constant ""-88""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit,false,false
"Found: Constant ""-77""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit,false,false
"Found: Constant ""-15""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit,false,false
"Found: Constant ""76""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit,false,false
"Found: Constant ""-69""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit,false,false
"Found: Constant ""-20""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit,false,false
"Found: Constant ""-52""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit,false,false
"Found: Constant ""-11""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit,false,false
"Found: Constant ""21""",Used constant keys in code,3,Used constant keys in code,547,1,a6.m,clinit,false,false
"Found: Constant ""-52""",Used constant keys in code,3,Used constant keys in code,547,1,a6.m,clinit,false,false
"Found: Constant ""-48""",Used constant keys in code,3,Used constant keys in code,547,1,a6.m,clinit,false,false
"Found: Constant ""-83""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit,false,false
"Found: Constant ""-48""",Used constant keys in code,3,Used constant keys in code,547,1,a6.m,clinit,false,false
"Found: Constant ""-46""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit,false,false
"Found: Constant ""-92""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit,false,false
"Found: Constant ""87""",Used constant keys in code,3,Used constant keys in code,547,1,a6.m,clinit,false,false
"Found: Constant ""-81""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit,false,false
"Found: Constant ""118""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit,false,false
"Found: Constant ""56""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit,false,false
"Found: Constant ""-102""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit,false,false
"Found: Constant ""17""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit,false,false
"Found: Constant ""-109""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit,false,false
"Found: Constant ""24""",Used constant keys in code,3,Used constant keys in code,547,1,a6.m,clinit,false,false
"Found: Constant ""90""",Used constant keys in code,3,Used constant keys in code,547,1,a6.m,clinit,false,false
"Found: Constant ""-98""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit,false,false
"Found: Constant ""97""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit,false,false
"Found: Constant ""44""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit,false,false
"Found: Constant ""-112""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit,false,false
