Message,Description,RuleNumber,RuleDesc,CWEId,Severity,ClassName,MethodName
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,com.jeroen1602.lighthouse_pm.e,q
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,com.jeroen1602.lighthouse_pm.e,o
